timestamp,meter_reading,outlier,air_temperature,dew_temperature,wind_speed
2016-01-01 00:00:00,340.18,Not an outlier,-1.8,-3.2,1.5
2016-01-01 01:00:00,338.56,Not an outlier,-1.7,-2.8,1.0
2016-01-01 02:00:00,335.93,Not an outlier,-2.7,-3.3,0.5
2016-01-01 03:00:00,338.35,Not an outlier,-2.3,-3.2,1.5
2016-01-01 04:00:00,341.91,Not an outlier,-2.6,-3.3,2.1
2016-01-01 05:00:00,341.06,Not an outlier,-2.2,-3.6,2.1
2016-01-01 06:00:00,330.75,Not an outlier,-2.3,-3.8,2.1
2016-01-01 07:00:00,335.16,Not an outlier,-2.8,-4.0,1.5
2016-01-01 08:00:00,338.49,Not an outlier,-3.0,-3.8,1.5
2016-01-01 09:00:00,319.61,Not an outlier,-3.3,-3.8,1.0
2016-01-01 10:00:00,318.66,Not an outlier,-3.2,-3.6,2.1
2016-01-01 11:00:00,319.96,Not an outlier,-3.1,-3.6,3.1
2016-01-01 12:00:00,318.8,Not an outlier,-3.1,-3.4,2.1
2016-01-01 13:00:00,323.48,Not an outlier,-2.1,-3.4,3.6
2016-01-01 14:00:00,324.26,Not an outlier,-1.2,-2.9,3.6
2016-01-01 15:00:00,326.05,Not an outlier,-0.7,-2.7,3.6
2016-01-01 16:00:00,318.67,Not an outlier,-0.5,-2.3,5.7
2016-01-01 17:00:00,316.89,Not an outlier,-0.3,-2.3,5.7
2016-01-01 18:00:00,318.9,Not an outlier,-0.3,-2.8,5.7
2016-01-01 19:00:00,326.94,Not an outlier,-0.4,-2.9,4.6
2016-01-01 20:00:00,311.4,Not an outlier,-0.7,-3.3,4.6
2016-01-01 21:00:00,309.17,Not an outlier,-0.9,-3.4,5.1
2016-01-01 22:00:00,323.48,Not an outlier,-1.0,-3.9,4.1
2016-01-01 23:00:00,322.82,Not an outlier,-2.0,-3.2,3.6
2016-01-02 00:00:00,311.29,Not an outlier,-1.5,-4.4,4.6
2016-01-02 01:00:00,309.07,Not an outlier,-1.6,-4.8,6.2
2016-01-02 02:00:00,308.67,Not an outlier,-1.9,-5.1,4.6
2016-01-02 03:00:00,307.9,Not an outlier,-2.2,-4.7,3.1
2016-01-02 04:00:00,309.36,Not an outlier,-2.6,-4.6,4.1
2016-01-02 05:00:00,309.19,Not an outlier,-2.4,-5.2,5.1
2016-01-02 06:00:00,313.66,Not an outlier,-2.7,-5.7,5.1
2016-01-02 07:00:00,317.94,Not an outlier,-3.3,-6.3,4.1
2016-01-02 08:00:00,326.35,Not an outlier,-3.9,-6.6,2.1
2016-01-02 09:00:00,318.31,Not an outlier,-5.6,-8.1,2.6
2016-01-02 10:00:00,321.54,Not an outlier,-5.8,-7.8,2.6
2016-01-02 11:00:00,320.47,Not an outlier,-4.2,-6.6,2.1
2016-01-02 12:00:00,317.56,Not an outlier,-3.2,-4.9,2.1
2016-01-02 13:00:00,317.64,Not an outlier,-2.5,-4.7,3.1
2016-01-02 14:00:00,336.62,Not an outlier,-1.7,-4.8,4.6
2016-01-02 15:00:00,327.78,Not an outlier,-2.0,-5.0,6.2
2016-01-02 16:00:00,326.33,Not an outlier,-1.6,-5.1,6.2
