timestamp,meter_reading,outlier,air_temperature,dew_temperature,wind_speed
2016-01-01 00:00:00,919.3,Not an outlier,-1.8,-3.2,1.5
2016-01-01 01:00:00,924.48,Not an outlier,-1.7,-2.8,1.0
2016-01-01 02:00:00,934.85,Not an outlier,-2.7,-3.3,0.5
2016-01-01 03:00:00,940.03,Not an outlier,-2.3,-3.2,1.5
2016-01-01 04:00:00,965.95,Not an outlier,-2.6,-3.3,2.1
2016-01-01 05:00:00,965.95,Not an outlier,-2.2,-3.6,2.1
2016-01-01 06:00:00,972.86,Not an outlier,-2.3,-3.8,2.1
2016-01-01 07:00:00,978.05,Not an outlier,-2.8,-4.0,1.5
2016-01-01 08:00:00,986.69,Not an outlier,-3.0,-3.8,1.5
2016-01-01 09:00:00,967.68,Not an outlier,-3.3,-3.8,1.0
2016-01-01 10:00:00,834.956659070908,Contextual outlier,-3.2,-3.6,2.1
2016-01-01 11:00:00,0.0,Global outlier,-3.1,-3.6,3.1
2016-01-01 12:00:00,952.13,Not an outlier,-3.1,-3.4,2.1
2016-01-01 13:00:00,960.77,Not an outlier,-2.1,-3.4,3.6
2016-01-01 14:00:00,950.4,Not an outlier,-1.2,-2.9,3.6
2016-01-01 15:00:00,971.14,Not an outlier,-0.7,-2.7,3.6
2016-01-01 16:00:00,967.68,Not an outlier,-0.5,-2.3,5.7
2016-01-01 17:00:00,965.95,Not an outlier,-0.3,-2.3,5.7
2016-01-01 18:00:00,936.58,Not an outlier,-0.3,-2.8,5.7
2016-01-01 19:00:00,919.3,Not an outlier,-0.4,-2.9,4.6
2016-01-01 20:00:00,927.94,Not an outlier,-0.7,-3.3,4.6
2016-01-01 21:00:00,929.66,Not an outlier,-0.9,-3.4,5.1
2016-01-01 22:00:00,922.75,Not an outlier,-1.0,-3.9,4.1
2016-01-01 23:00:00,922.75,Not an outlier,-2.0,-3.2,3.6
2016-01-02 00:00:00,921.02,Not an outlier,-1.5,-4.4,4.6
2016-01-02 01:00:00,927.94,Not an outlier,-1.6,-4.8,6.2
2016-01-02 02:00:00,929.66,Not an outlier,-1.9,-5.1,4.6
2016-01-02 03:00:00,933.12,Not an outlier,-2.2,-4.7,3.1
2016-01-02 04:00:00,938.3,Not an outlier,-2.6,-4.6,4.1
2016-01-02 05:00:00,940.03,Not an outlier,-2.4,-5.2,5.1
2016-01-02 06:00:00,946.94,Not an outlier,-2.7,-5.7,5.1
2016-01-02 07:00:00,965.95,Not an outlier,-3.3,-6.3,4.1
2016-01-02 08:00:00,984.96,Not an outlier,-3.9,-6.6,2.1
2016-01-02 09:00:00,974.59,Not an outlier,-5.6,-8.1,2.6
2016-01-02 10:00:00,979.78,Not an outlier,-5.8,-7.8,2.6
2016-01-02 11:00:00,971.14,Not an outlier,-4.2,-6.6,2.1
2016-01-02 12:00:00,974.59,Not an outlier,-3.2,-4.9,2.1
2016-01-02 13:00:00,965.95,Not an outlier,-2.5,-4.7,3.1
2016-01-02 14:00:00,991.87,Not an outlier,-1.7,-4.8,4.6
2016-01-02 15:00:00,962.5,Not an outlier,-2.0,-5.0,6.2
2016-01-02 16:00:00,974.59,Not an outlier,-1.6,-5.1,6.2
2016-01-02 17:00:00,991.87,Not an outlier,-1.8,-4.6,7.2
2016-01-02 18:00:00,945.22,Not an outlier,-1.5,-4.3,6.2
2016-01-02 19:00:00,934.85,Not an outlier,-1.1,-3.8,6.7
2016-01-02 20:00:00,941.76,Not an outlier,-0.7,-3.5,6.2
2016-01-02 21:00:00,921.02,Not an outlier,-0.7,-3.3,6.7
2016-01-02 22:00:00,915.84,Not an outlier,-0.6,-3.1,6.7
2016-01-02 23:00:00,926.21,Not an outlier,-0.6,-3.2,6.7
2016-01-03 00:00:00,903.74,Not an outlier,-0.6,-3.2,7.2
2016-01-03 01:00:00,893.38,Not an outlier,-1.5,-3.4,6.7
2016-01-03 02:00:00,912.38,Not an outlier,-0.8,-3.4,6.2
2016-01-03 03:00:00,915.84,Not an outlier,-0.6,-3.8,6.7
2016-01-03 04:00:00,919.3,Not an outlier,-1.2,-3.1,4.1
2016-01-03 05:00:00,926.21,Not an outlier,-1.1,-3.4,1.5
2016-01-03 06:00:00,934.85,Not an outlier,-0.6,-4.1,4.6
2016-01-03 07:00:00,960.77,Not an outlier,-0.8,-4.1,3.6
2016-01-03 08:00:00,962.5,Not an outlier,-1.2,-3.7,3.1
2016-01-03 09:00:00,964.22,Not an outlier,-1.1,-3.2,3.6
